DVM,SapToOracle_SubjSubA_Lookup,Mapping from Sap Gl Code to Oracle Subjective and Subanalysis
SapGlCode,Subjective,Subanalysis
1002,101002,1000
1004,101004,1000
1006,101006,1000
1008,101008,1000
1011,101011,1000
1018,101018,1000
1021,101021,1000
1025,101025,1000
1029,101029,1000
1030,101030,1000
1035,101035,1000
1045,101045,1000
1053,101053,1000
1054,101054,1000
1055,101055,1000
1057,101057,1000
1058,101058,1000
1059,101059,1000
1060,101060,1000
1061,101061,1000
1062,101062,1000
1063,101063,1000
1064,101064,1000
1065,101065,1000
1070,101070,1000
1071,101071,1000
1072,101072,1000
1073,101073,1000
1074,101074,1000
1075,101075,1000
1076,101076,1000
1077,101077,1000
1078,101078,1000
1079,101079,1000
1080,101080,1000
1081,101081,1000
1082,101082,1000
1083,101083,1000
1084,101084,1000
1085,101085,1000
1086,101086,1000
1087,101087,1000
1088,101088,1000
1089,101089,1000
1090,101090,1000
1091,101091,1000
1092,101092,1000
1093,101093,1000
1094,101094,1000
1097,101097,1000
1100,101100,1000
1102,101102,1000
1105,101105,1000
1108,101108,1000
1109,101109,1000
1112,101112,1000
1113,101113,1000
1130,101130,1000
1305,101305,1000
1320,101320,1000
1321,101321,1000
1322,101322,1000
1351,101351,1000
1352,101352,1000
1361,101361,1000
1401,101401,1000
1402,101402,1000
1405,101405,1000
1406,101406,1000
1407,101407,1000
1409,101409,1000
1410,101410,1000
1411,101411,1000
1412,101412,1000
1413,101413,1000
1414,101414,1000
1415,101415,1000
1419,101419,1000
1420,101420,1000
1421,101421,1000
1422,101422,1000
1424,101424,1000
1425,101425,1000
1426,101426,1000
1427,101427,1000
1429,101429,1000
1430,101430,1000
1431,101431,1000
1500,101500,1000
1503,101503,1000
1506,101506,1000
1509,101509,1000
1511,101511,1000
1512,101512,1000
1513,101513,1000
1998,101998,1000
1999,101999,1000
2000,102000,1000
2001,102001,1000
2003,102003,1000
2005,102005,1000
2006,102006,1000
2010,102010,1000
2014,102014,1000
2015,102015,1000
2016,102016,1000
2017,102017,1000
2022,102022,1000
2024,102024,1000
2025,102025,1000
2027,102027,1000
2030,102030,1000
2031,102031,1000
2033,102033,1000
2034,102034,1000
2035,102035,1000
2036,102036,1000
2037,102037,1000
2038,102038,1000
2039,102039,1000
2043,102043,1000
2044,102044,1000
2050,102050,1000
2059,102059,1000
2073,102073,1000
2074,102074,1000
2076,102076,1000
2078,102078,1000
2080,102080,1000
2081,102081,1000
2085,102085,1000
2086,102086,1000
2090,102090,1000
2091,102091,1000
2092,102092,1000
2094,102094,1000
2095,102095,1000
2096,102093,1000
2097,102097,1000
2099,102099,1000
2104,102104,1000
2106,102106,1000
2107,102107,1000
2108,102108,1000
2150,102150,1000
2156,102156,1000
2157,102157,1000
2158,102158,1000
2159,102159,1000
2160,102160,1000
2161,102161,1000
2162,102162,1000
2163,102163,1000
2170,102170,1000
2171,102171,1000
2172,102172,1000
2174,102174,1000
2177,102177,1000
2178,102173,1000
2180,102180,1000
2181,102181,1000
2184,102184,1000
2185,102185,1000
2186,102186,1000
2187,102187,1000
2201,102201,1000
2202,102202,1000
2203,102203,1000
2204,102204,1000
2207,102207,1000
2209,102209,1000
2210,102210,1000
2212,102212,1000
2213,102213,1000
2214,102214,1000
2215,102215,1000
2217,102217,1000
2219,102219,1000
2222,102222,1000
2223,102223,1000
2225,102225,1000
2227,102227,1000
2229,102229,1000
2230,102230,1000
2236,102236,1000
2239,102239,1000
2242,102242,1000
2248,102248,1000
2250,102250,1000
2251,102250,1000
2252,102250,1000
2253,102250,1000
2255,102250,1000
2257,102257,1000
2259,102259,1000
2261,102261,1000
2262,102262,1000
2269,102269,1000
2270,102270,1000
2271,102271,1000
2272,102272,1000
2273,102273,1000
2275,102275,1000
2276,102276,1000
2279,102279,1000
2280,102280,1000
2282,102282,1000
2283,102283,1000
2285,102285,1000
2287,102287,1000
2288,102288,1000
2289,102289,1000
2296,102296,1000
2297,102297,1000
2299,102299,1000
2300,102300,1000
2304,102304,1000
2305,102305,1000
2306,102306,1000
2307,102307,1000
2308,102308,1000
2309,102309,1000
2310,102310,1000
2312,102312,1000
2313,102313,1000
2314,102314,1000
2315,102315,1000
2316,102315,1000
2320,102320,1000
2321,102321,1000
2340,102340,1000
2341,102341,1000
2343,102343,1000
2344,102344,1000
2350,102350,1000
2751,102751,1000
2752,102752,1000
2753,102753,1000
2754,102754,1000
2755,102755,1000
2756,102756,1000
2757,102757,1000
2758,102758,1000
2771,102771,1000
2780,102780,1000
2781,102781,1000
2782,102782,1000
2783,102783,1000
2784,102784,1000
2785,102785,1000
2790,102790,1000
2791,102791,1000
2792,102792,1000
2793,102793,1000
2794,102794,1000
2796,102796,1000
2797,102797,1000
2803,102803,1000
2805,102805,1000
2806,102806,1000
2813,102813,1000
2822,102822,1000
2824,102824,1000
2826,102826,1000
2828,102828,1000
2829,102829,1000
2833,102833,1000
2834,102834,1000
2835,102835,1000
2840,102840,1000
2841,102841,1000
2850,102850,1000
2851,102851,1000
2860,102860,1000
2861,102861,1000
2862,102862,1000
2871,102871,1000
2880,102880,1000
2900,102900,1000
2901,102901,1000
3000,300000,3000
3001,300000,3001
3010,300000,3010
3013,300000,3010
3014,300000,3014
3015,300000,3015
3016,300000,3015
3017,300000,3015
3020,300000,3015
3021,300000,3015
3024,301000,3024
3025,300000,3045
3029,300000,3029
3031,300000,3045
3032,300000,3058
3033,300000,3032
3034,300000,3058
3036,300000,3045
3046,300000,3045
3048,300000,3010
3050,300000,3050
3051,302000,3051
3052,300000,3010
3053,302000,3053
3054,302000,3054
3056,300000,3056
3057,301000,3045
3058,300000,3058
3061,300000,3010
3062,300000,3010
3064,300000,3064
3065,300000,3065
3066,300000,3066
3090,300000,3090
3100,300000,3100
3101,300000,3100
3102,300000,3102
3103,300000,3015
3104,300000,3015
3110,300000,3110
3112,300000,3110
3113,300000,3100
3125,300000,3125
3130,300000,3130
3131,300000,3131
3139,300000,3139
3141,300000,3141
3144,300000,3144
3147,300000,3147
3150,300000,3150
3153,301000,3153
3200,300000,3200
3201,300000,3201
3210,300000,3210
3214,300000,3214
3215,300000,3215
3216,300000,3215
3217,300000,3215
3220,300000,3215
3221,300000,3215
3224,300000,3245
3230,300000,3245
3231,300000,3258
3232,300000,3232
3233,300000,3258
3235,300000,3245
3245,300000,3245
3247,300000,3245
3249,300000,3256
3251,300000,3258
3265,300000,3265
3266,300000,3266
3290,300000,3290
3300,300000,3300
3301,300000,3300
3302,300000,3302
3303,300000,3215
3304,300000,3215
3314,300000,3300
3325,300000,3325
3330,300000,3330
3331,300000,3331
3339,300000,3339
3341,300000,3341
3343,300000,3343
3380,300000,3380
3400,300000,3400
3401,300000,3401
3410,300000,3410
3414,300000,3414
3415,300000,3415
3416,300000,3415
3417,300000,3415
3420,300000,3415
3421,300000,3415
3424,300000,3445
3430,300000,3445
3431,300000,3458
3432,300000,3432
3433,300000,3458
3435,300000,3445
3445,300000,3445
3448,300000,3456
3450,300000,3445
3451,300000,3458
3465,300000,3465
3466,300000,3466
3490,300000,3490
3500,300000,3500
3501,300000,3500
3502,300000,3502
3503,300000,3415
3504,300000,3415
3520,300000,3520
3525,300000,3525
3530,300000,3530
3533,300000,3533
3541,300000,3541
3543,300000,3543
3580,311000,3580
3581,311000,3581
3582,311000,3582
3583,311000,3583
3584,311000,3584
3585,311000,3585
3586,311000,3586
3607,309000,3607
3610,300000,3500
3621,309000,3621
3623,309000,3623
3701,309000,3701
3702,750000,3702
3704,750000,3704
3705,750000,3705
3706,750000,3706
3708,750000,3708
3709,750000,3709
3710,750000,3710
3712,750000,3712
3713,750000,3713
3714,750000,3714
3715,750000,3715
3716,750000,3716
3720,750000,3720
3722,750000,3722
3724,750000,3724
3725,750000,3725
3750,750000,3750
3751,750000,3751
3752,750000,3752
3760,750000,3760
3762,750000,3762
3771,750000,3771
3774,750000,3774
3775,750000,3775
3778,750000,3778
3780,750000,3780
3783,750000,3783
3784,750000,3784
3785,750000,3785
3786,750000,3786
3790,750000,3790
3791,750000,3791
3792,750000,3792
3793,750000,3793
3794,750000,3794
3795,750000,3795
3800,750000,3800
3801,750000,3801
3802,750000,3802
3803,750000,3803
3804,750000,3804
3805,750000,3805
3806,750000,3806
3807,750000,3807
3808,750000,3808
3809,750000,3809
3810,750000,3810
3811,750000,3811
3812,750000,3812
3813,750000,3813
3814,750000,3814
3815,750000,3815
3820,750000,3820
3821,750000,3821
3871,750000,3871
3890,750000,3890
3891,750000,3891
3900,303000,3900
3902,303000,3902
3903,303000,3903
3910,308000,3910
3921,308000,3921
3926,308000,3910
3930,307000,3930
3931,307000,3931
3936,307000,3936
3950,305000,3950
3951,305000,3950
3953,305000,3950
3954,305000,3950
3955,305000,3950
3956,305000,3950
3970,304000,3970
3971,304000,3971
3972,304000,3972
3973,304000,3973
3974,304000,3974
3980,304000,3980
3981,308000,3981
3984,304000,3999
3985,304000,3980
3991,750000,3991
3998,310000,3998
3999,304000,3999
4000,400000,4000
4001,400000,4001
4002,400000,4000
4003,400000,4003
4004,400000,4004
4005,400000,4005
4006,400000,4006
4009,400000,4000
4010,400000,4010
4011,400000,4000
4012,400000,4012
4014,400000,4014
4015,400000,4000
4040,400000,4040
4041,400000,4041
4100,402000,4100
4101,402000,4101
4102,402000,4102
4110,403000,4110
4111,403000,4110
4112,403000,4110
4113,403000,4113
4130,404000,4130
4140,402000,4140
4150,500000,4150
4200,405000,4200
4203,405000,4203
4205,405000,4205
4210,405000,4210
4400,403000,4110
4500,406000,4500
4510,406000,4510
4520,406000,4520
4550,406000,4550
4600,406000,4600
4601,406000,4601
4603,406000,4603
4604,406000,4604
4605,406000,4605
4606,406000,4601
4700,306000,4700
4810,306000,4810
4812,306000,4810
4813,306000,4810
4814,306000,4810
4822,406000,4822
4900,406000,4900
5000,500000,5000
5001,500000,5001
5010,500000,5010
5023,500000,5023
5042,500000,5048
5046,500000,5046
5048,500000,5048
5060,400000,5060
5061,500000,5061
5062,500000,5062
5064,500000,5064
5066,500000,5066
5071,500000,5071
5072,500000,5072
5074,500000,5074
5202,501000,5202
5210,501000,5210
5212,501000,5212
5300,502000,5300
5303,502000,5303
5401,503000,5401
5405,503000,5405
5419,503000,5419
5420,503000,5420
5423,503000,5420
5430,503000,5430
5432,503000,5432
5434,503000,5434
5435,503000,5435
5436,503000,5436
5437,503000,5437
5460,503000,5460
5461,503000,5461
5462,503000,5462
5463,503000,5463
5464,503000,5464
5465,503000,5465
5467,503000,5467
5468,503000,5468
5469,503000,5469
5470,503000,5470
5471,503000,5471
5472,503000,5472
5473,503000,5473
5476,503000,5476
5500,506000,5614
5502,500000,5502
5510,500000,5510
5511,500000,5511
5512,509000,5612
5513,509000,5613
5600,506000,5600
5601,506000,5601
5606,506000,5606
5608,506000,5608
5610,506000,5610
5627,508000,5627
5640,507000,5640
5644,507000,5644
5650,511000,5650
5660,507000,5660
5800,504000,5800
5802,504000,5802
5804,504000,5804
5806,504000,5800
5810,504000,5800
5820,504000,5820
5823,504000,5823
5824,504000,5824
5827,504000,5827
5828,504000,5828
5840,505000,5840
5900,510000,5903
5901,510000,5903
5903,510000,5903
5905,510000,5905
5910,510000,5910
5922,306000,5922
5924,510000,5924
5930,510000,5930
5940,305000,3950
5950,506000,5950
6000,623000,6000
6004,623000,6004
6006,629000,6007
6007,629000,6007
6020,622000,6020
6023,634000,6023
6100,627000,6100
6101,627000,6100
6200,633000,6200
6201,634500,6201
6202,634500,6202
6204,632000,6204
6301,630000,6301
6304,630000,6304
6305,630000,6305
6320,750000,6320
6323,750000,6323
6327,631000,6327
6328,617000,6328
6350,506000,6350
6360,506000,6360
6411,631000,6411
6431,506000,6431
6500,624000,6500
6501,799800,7101
6502,799800,7102
6503,799800,7103
6504,799800,7104
6505,799800,7105
6506,799800,7106
6507,799800,7107
6508,799800,7108
6509,799800,7109
6510,799800,7110
6511,799800,7111
6512,799800,7112
6530,616000,6530
6540,799800,7140
6600,506000,6600
6641,634600,6641
6642,634600,6642
6660,506000,6660
6665,617000,6665
6666,616000,6666
6667,617000,6667
6668,616000,6668
6679,617000,6679
6699,617000,6699
6799,616000,6799
6800,616000,6800
6801,634700,6801
6804,634700,6804
6808,634700,6808
6809,634700,6809
6811,634700,6811
6812,634700,6812
6813,634700,6813
6814,634700,6814
6815,634700,6815
6816,634700,6816
6817,634700,6817
6818,634700,6818
6819,634700,6819
6820,634700,6820
6821,634700,6821
6822,634700,6822
6823,634700,6823
6825,634700,6825
6832,634700,6832
6833,634700,6833
6834,634700,6834
6850,605000,7050
6851,604000,6851
6852,604000,6852
6853,604000,6853
6854,606000,6854
6855,609000,6855
6858,607000,6858
6860,634600,6860
6861,634600,6869
6869,634600,6869
6870,600000,6870
6871,601000,6871
6872,603000,6872
6873,601000,6871
6874,602000,6874
6875,600000,6875
6876,601000,6876
6878,608000,6878
6880,614000,6980
6890,612000,6890
6891,612000,6891
6980,614000,6980
6981,620000,6981
6983,614000,6983
6989,617000,6679
7002,650000,7002
7003,650000,7003
7030,650000,7030
7033,650000,7033
7040,650000,7040
7042,650000,7042
7045,650000,7040
7056,650000,7056
7068,650000,7068
7071,650000,7071
7083,650000,7083
7085,650000,7083
7102,614000,6980
7156,799800,7156
7170,799800,7170
7171,799800,7171
7172,799800,7172
7173,799800,7173
7174,799800,7174
7175,799800,7175
7176,799800,7176
7177,799800,7177
7178,799800,7178
7179,799800,7179
7185,799800,7185
7186,799800,7186
7187,799800,7187
7197,799800,5210
7200,702000,7302
7300,702000,7300
7302,702000,7302
7303,701000,7303
7305,701000,7305
7306,701000,7306
7313,701000,7313
7315,701000,7315
7316,701000,7316
7400,702000,7400
7401,702000,7401
7404,702000,7404
7405,702000,7405
7406,702000,7406
7407,702000,7407
7408,702000,7408
7500,506000,5614
7501,506000,5601
7512,509000,5612
7513,509000,5613
7519,617000,6679
7600,700000,7600
7601,700000,7601
7602,700000,7602
7603,700000,7603
7604,700000,7604
7609,700000,7609
7650,700000,7650
7651,700000,7651
7700,700000,7700
7701,700000,7701
7800,700000,7800
7801,700000,7801
7805,700000,7801
7806,700000,7801
7807,700000,7807
7808,700000,7808
7809,700000,7809
7850,700000,7850
7851,700000,7801
7912,700000,7808
7921,700000,7921
8002,832000,8002
8004,832100,8004
8006,832200,8006
8007,832400,8007
8008,832300,8008
8010,832900,8010
8011,833900,8011
8014,833100,8014
8015,830400,8015
8016,890400,8016
8018,800400,8018
8022,833000,8022
8023,830200,8023
8024,830600,8024
8027,832700,8027
8028,833700,8028
8029,890400,8016
8032,830700,8032
8036,830500,8036
8048,830900,8048
8051,810400,8103
8055,832800,8055
8059,830000,8059
8061,831000,8061
8063,831600,8063
8065,832500,8065
8066,832600,8066
8072,831800,8072
8079,830100,8079
8091,890000,8091
8092,890000,8092
8093,890000,8093
8097,890300,8097
8100,810000,8100
8101,810100,8101
8102,820000,8389
8103,810400,8103
8104,810500,8104
8105,810400,8105
8106,810200,8106
8107,800400,8107
8120,810400,8120
8125,810300,8125
8126,810300,8126
8130,810400,8130
8138,810500,8138
8150,810400,8150
8179,800000,8179
8180,800000,8180
8181,800000,8181
8182,800000,8182
8183,800000,8183
8184,810400,8184
8185,810400,8185
8187,810400,8187
8188,810400,8188
8191,810400,8191
8193,810400,8193
8194,810400,8194
8195,810400,8195
8196,810500,8196
8197,810400,8201
8198,810500,8198
8199,810500,8199
8200,810400,8200
8201,810400,8201
8202,810400,8202
8205,810400,8205
8206,810400,8206
8217,810400,8217
8230,800000,8230
8231,800000,8231
8232,800000,8232
8234,810400,8234
8235,810400,8235
8240,800500,8240
8241,800500,8241
8242,800500,8242
8243,800500,8243
8246,800500,8246
8247,800500,8247
8248,800500,8248
8249,800500,8249
8250,800500,8250
8251,800500,8251
8252,800500,8252
8253,800500,8253
8254,800500,8254
8255,800500,8255
8256,800500,8256
8257,800500,8257
8258,810400,8258
8259,800500,8259
8260,800500,8260
8266,800500,8266
8267,800500,8267
8270,810100,8270
8271,810400,8271
8272,810400,8272
8273,800500,8273
8274,800500,8274
8275,800500,8275
8276,800500,8276
8277,800500,8277
8280,800500,8280
8281,800500,8281
8282,800500,8282
8283,800500,8283
8284,800500,8284
8285,800500,8285
8286,800500,8286
8290,810400,8290
8291,810400,8291
8292,800500,8292
8293,800500,8293
8295,800500,8295
8310,800500,8310
8330,810400,8330
8335,810400,8335
8336,810500,8336
8337,810500,8337
8340,899800,8340
8341,890500,8341
8342,890600,8342
8344,632000,8344
8345,800100,8345
8346,800200,8346
8347,810400,8193
8350,820000,8350
8351,820000,8351
8352,820000,8352
8353,820000,8353
8355,820000,8352
8356,820000,8356
8360,820000,8360
8363,810100,8101
8364,820000,8364
8370,820000,8370
8371,820400,8371
8380,820000,8380
8389,820000,8389
8392,820000,8392
8401,820000,8401
8429,820100,8429
8440,820100,8440
8445,820100,8445
8461,820400,8461
8469,820400,8469
8471,820100,8471
8473,820100,8473
8500,820100,8500
8501,820100,8501
8502,820100,8502
8503,820100,8503
8504,820100,8504
8505,820100,8505
8506,820100,8506
8507,820100,8507
8509,820100,8623
8510,820100,8510
8511,820100,8623
8615,820100,8615
8618,810400,8193
8620,820100,8620
8623,820100,8623
8626,820300,8626
8627,820100,8627
8628,820100,8471
8629,820100,8629
8700,820200,8700
8701,820200,8701
8702,820200,8702
8703,820100,8703
8704,820200,8704
8771,820400,8771
8780,810400,8780
8781,810400,8780
8784,810400,8784
8785,810400,8785
8800,799900,8800
8802,799900,8802
8804,799900,8804
8810,799900,8810
8811,799900,8811
8812,799900,8812
8813,799900,8813
8814,799900,8814
8815,799900,8815
8817,799900,8817
8818,799900,8818
8819,799900,8819
8820,799900,8820
8850,799900,8850
8855,799900,8855
8856,799900,8856
8857,799900,8857
8858,799900,8858
8859,799900,8859
8860,799900,8860
8012,932400,8012
8005,834000,8005
8816,799900,8816
2175,102175,1000
